Throughput: 64.03
[2025-04-14 16:48:14.539] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:14.921] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:15.300] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:15.678] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:16.060] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:16.439] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:16.821] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:17.206] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:17.593] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:17.976] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:18.358] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:18.740] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:19.123] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:19.499] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:19.878] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:20.256] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:20.642] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:21.019] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:21.401] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:21.786] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:22.171] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:22.554] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:22.934] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:23.315] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:23.695] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:24.079] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:24.460] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:24.843] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:25.228] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:25.612] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:25.991] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:26.375] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:26.759] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:27.139] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:27.517] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:27.901] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:28.279] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:28.658] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:29.040] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:48:29.422] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2093.312 mW,
