Throughput: 76.61
[2025-06-16 22:43:18.711] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1368.704 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:19.063] VDD_IN: 6249.600 mW, VDD_CPU_GPU_CV: 1370.880 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:19.414] VDD_IN: 6249.600 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:19.768] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:20.122] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:20.478] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:20.832] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:21.185] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:21.540] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:21.894] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:22.248] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:22.604] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:22.959] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:43:23.316] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1330.560 mW, VDD_SOC: 1733.760 mW,
