engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,label
efficientvit_b3,GPU,729600,918000000,30.0,30.0,53.22,12506.63,4562.59,3613.38,App 1
resnet50_Opset17,DLA0,729600,918000000,90.0,86.62,86.78,12506.63,4562.59,3613.38,App 2
yolo11n,DLA0,729600,918000000,30.0,29.99,30.01,12506.63,4562.59,3613.38,App 3
