Throughput: 49.62
[2025-06-16 23:19:48.629] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:48.976] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:49.324] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:19:49.675] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:50.024] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:50.371] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:50.717] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:51.065] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:51.412] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:51.761] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:52.111] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:52.460] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:52.808] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:53.154] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:53.504] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:53.853] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:54.204] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:54.553] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:54.902] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:55.251] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:55.597] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:55.947] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:56.295] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:56.644] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:56.994] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:57.344] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:57.691] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:58.037] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:58.387] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:58.736] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:59.087] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:19:59.435] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:19:59.782] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-06-16 23:20:00.130] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:00.476] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:00.823] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:01.169] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:01.519] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:01.867] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:02.217] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:02.565] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:02.911] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:20:03.261] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
