Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,52.02,efficientvit_b3,7613.424,2310.694,1921.248,304536.96,92427.776,76849.92
dla0,918000000,63.19,efficientvit_b3,8931.629,3533.955,1912.651,366196.8,144892.16,78418.688
