Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,25.25,yolo11n,6986.178,1429.644,2016.983,286433.28,58615.424,82696.32
dla0,918000000,25.91,yolo11n,7673.584,2138.477,1975.68,314616.96,87677.568,81002.88
