Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,69.63,yolov3-tiny-416-bs1,6348.365,1455.552,1773.283,253934.592,58222.08,70931.328
dla0,918000000,72.18,yolov3-tiny-416-bs1,7051.083,2173.824,1703.274,289094.4,89126.784,69834.24
