Throughput: 84.31
[2025-04-14 16:08:29.126] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:29.503] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:29.883] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:30.262] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:30.642] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:31.019] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:31.401] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:31.787] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 16:08:32.163] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:32.548] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:32.932] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:33.312] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:33.688] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:34.066] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:34.447] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:34.836] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:35.216] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:35.595] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:35.975] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:36.357] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:36.742] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:37.122] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:37.501] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:37.885] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:38.263] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:38.645] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 16:08:39.024] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 16:08:39.402] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:39.777] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:40.157] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:40.538] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:40.923] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:41.301] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:41.681] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:42.062] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:42.444] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:42.827] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:43.208] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:43.587] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:43.969] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
