Throughput: 55.16
[2025-06-16 21:12:13.489] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:13.845] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:14.206] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:14.559] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:14.914] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:15.269] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:15.632] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:15.987] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:16.348] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:16.704] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:17.058] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:17.420] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:17.778] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:18.131] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:18.485] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:18.838] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:19.191] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:19.545] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:19.900] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:12:20.257] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:20.611] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:20.965] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:21.322] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:21.676] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:22.030] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:22.384] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:22.742] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:23.098] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:23.455] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:23.810] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:24.170] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:24.521] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:24.879] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:25.237] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:25.596] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 21:12:25.952] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1895.040 mW,
