Throughput: 81.69
[2025-04-19 17:40:06.862] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:07.246] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:07.632] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:08.011] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:08.393] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:08.775] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:09.165] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:09.547] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:09.931] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:10.316] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:10.703] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:11.085] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:11.465] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:40:11.850] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:12.230] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:12.612] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:40:12.996] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:13.381] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:40:13.771] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:40:14.152] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:14.535] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:40:14.919] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:40:15.305] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
