engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,run_gpu_freq,run_cpu0_freq,run_cpu4_freq,label
efficientnet_b5,GPU,729600,510000000,20.0,20.0,40.61,8901.05,3999.08,1785.58,918000000.0,1984000.0,729600.0,App 1
efficientvit_b3,GPU,729600,510000000,20.0,19.99,37.77,8901.05,3999.08,1785.58,918000000.0,1984000.0,729600.0,App 2
resnet50_Opset17,GPU,729600,510000000,30.0,30.0,75.74,8901.05,3999.08,1785.58,918000000.0,1984000.0,729600.0,App 3
yolov3-tiny-416-bs1,GPU,729600,510000000,30.0,29.99,57.53,8901.05,3999.08,1785.58,918000000.0,1984000.0,729600.0,App 4
