Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,42.27,efficientnet_b5,10432.674,2715.606,3487.798,417306.944,108624.256,139511.936
dla0,918000000,49.23,efficientnet_b5,12467.558,4311.029,3705.026,498702.336,172441.152,148201.024
