engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,label
efficientnet_b5,GPU,729600,918000000,30.0,30.02,40.87,9233.66,3881.8,1915.84,App 1
efficientvit_b3,GPU,729600,918000000,30.0,30.0,34.48,9233.66,3881.8,1915.84,App 2
yolo11n,GPU,729600,918000000,30.0,30.0,30.03,9233.66,3881.8,1915.84,App 3
