Throughput: 105.73
[2025-04-14 17:40:48.529] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:48.909] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 17:40:49.293] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 17:40:49.678] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.062] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.447] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.829] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.211] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.598] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.978] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:52.369] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:52.753] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.136] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.522] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.899] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:54.280] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:54.667] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.047] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.432] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.816] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.197] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.581] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.965] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:57.349] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:57.732] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.110] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.488] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.870] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:59.252] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:59.635] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.018] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.401] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.791] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.172] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.556] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.937] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:02.314] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:02.698] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:03.081] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
