Throughput: 21.90
[2025-04-18 14:31:25.863] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:26.240] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:26.623] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:27.003] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:27.385] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:27.766] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:28.145] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:28.523] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:28.907] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:29.292] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:29.676] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:30.057] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:30.440] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:30.820] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:31.206] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:31.590] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:31.969] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:32.350] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:32.734] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:33.117] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:33.494] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:33.876] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:34.257] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:34.636] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:35.016] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:35.397] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:35.781] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:36.163] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:36.548] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:36.928] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:37.310] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:37.691] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:38.073] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:38.454] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:38.831] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:39.213] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:39.595] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:39.978] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:40.359] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:31:40.740] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
