Throughput: 104.52
[2025-04-18 14:03:31.383] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:31.767] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:32.151] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:32.535] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4139.776 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:32.914] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:33.296] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:33.674] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.051] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.434] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.819] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:35.208] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:35.591] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:35.969] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:36.355] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:36.735] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:37.114] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:37.493] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:37.871] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:38.249] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:38.634] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:39.017] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:39.393] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:39.774] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:40.157] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:40.537] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:40.918] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:41.293] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:41.677] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:42.054] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:42.429] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:42.811] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
