Throughput: 57.12
[2025-04-12 18:12:45.373] VDD_IN: 10909.376 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:45.749] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:46.126] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:46.511] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:46.890] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:47.268] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:47.646] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:48.024] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:48.401] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:48.782] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2093.312 mW,
[2025-04-12 18:12:49.161] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:49.538] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:49.914] VDD_IN: 10949.632 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:50.292] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:50.671] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4815.360 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:51.053] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4815.360 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:51.428] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:51.804] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
