Throughput: 33.91
[2025-04-18 13:53:54.645] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:55.022] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:53:55.405] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:55.783] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:56.161] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:53:56.541] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:56.927] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:57.306] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:53:57.687] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:58.069] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:53:58.449] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:58.833] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:59.215] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:53:59.595] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:53:59.973] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:54:00.353] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:54:00.734] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:01.112] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:01.489] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:01.869] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 13:54:02.250] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:02.630] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:03.006] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:03.389] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:03.769] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:04.146] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:04.525] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:04.910] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:05.284] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:05.663] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:06.046] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:06.426] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:54:06.805] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
