engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,run_gpu_freq,run_cpu0_freq,run_cpu4_freq,label
resnet50_Opset17,DLA0,1267200,918000000,40.0,39.99,86.09,11967.79,4027.12,3573.42,612000000.0,1984000.0,1984000.0,App 1
resnet50_Opset17,DLA0,1267200,918000000,120.0,97.9,98.09,11967.79,4027.12,3573.42,612000000.0,1984000.0,1984000.0,App 2
yolo11n,DLA1,1267200,918000000,30.0,29.7,29.73,11967.79,4027.12,3573.42,612000000.0,1984000.0,1984000.0,App 3
yolov3-tiny-416-bs1,DLA0,1267200,918000000,30.0,30.04,59.14,11967.79,4027.12,3573.42,612000000.0,1984000.0,1984000.0,App 4
