Throughput: 47.24
[2025-04-14 16:05:17.644] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:05:18.017] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:18.388] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:05:18.761] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:19.139] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:19.511] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:19.881] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:20.253] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:20.627] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:21.006] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:21.378] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:21.752] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:22.124] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:22.499] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:22.872] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:23.243] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:23.616] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:23.987] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:24.358] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:24.730] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:25.104] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:25.480] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:25.854] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:26.225] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:26.599] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:26.971] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:27.345] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:27.719] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:28.093] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:28.467] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:28.843] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:29.216] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:29.595] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:29.970] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:30.342] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:30.717] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:31.093] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:31.467] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:31.843] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 16:05:32.226] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
