Throughput: 21.74
[2025-04-14 16:08:29.049] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:29.429] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:29.812] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:30.194] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:30.577] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:30.960] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:31.338] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:31.722] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:32.100] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 16:08:32.478] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:32.861] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:33.239] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:33.617] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:33.994] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 16:08:34.370] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:34.745] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:35.125] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 16:08:35.503] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2016.000 mW,
