Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,60.91,efficientnet_b5,7864.468,2615.608,1851.618,306714.24,102008.704,72213.12
gpu,918000000,72.33,efficientnet_b5,9280.014,3979.008,1850.77,371200.576,159160.32,74030.784
