Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,21.06,yolo11n,7995.456,2221.125,2055.312,319818.24,88844.992,82212.48
dla0,918000000,21.77,yolo11n,9299.803,3388.286,2089.365,371992.128,135531.456,83574.592
