Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,37.90,efficientvit_b3,8064.0,2629.026,1909.514,314496.0,102532.032,74471.04
dla0,918000000,51.39,efficientvit_b3,9911.234,4188.9,2007.639,386538.112,163367.104,78297.92
