Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,47.35,yolov3-tiny-416-bs1,8058.831,2613.433,1917.785,314294.4,101923.904,74793.6
dla0,918000000,48.80,yolov3-tiny-416-bs1,9783.546,4102.346,2009.854,391341.824,164093.824,80394.176
