Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,86.13,resnet50_Opset17,8135.335,2537.16,1973.612,317278.08,98949.248,76970.88
dla0,918000000,96.55,resnet50_Opset17,9586.225,3849.393,2026.572,364276.544,146276.928,77009.728
