Throughput: 73.39
[2025-06-16 20:38:25.215] VDD_IN: 6289.920 mW, VDD_CPU_GPU_CV: 1532.160 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:25.567] VDD_IN: 6249.600 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:25.920] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1489.472 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:26.274] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:26.627] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:26.979] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:27.332] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:27.683] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:28.036] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:28.393] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:28.742] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:29.094] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:29.448] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:29.800] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:30.152] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:30.506] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:30.858] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:31.211] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:31.569] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:31.920] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:32.276] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:32.628] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:32.981] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:33.332] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:33.684] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:34.041] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:34.394] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:34.748] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:38:35.103] VDD_IN: 6209.280 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1653.120 mW,
