Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,43.61,super_resolution_bsd500-bs1,8135.091,2554.137,1974.619,309133.44,97057.216,75035.52
gpu,918000000,47.34,super_resolution_bsd500-bs1,9434.355,3753.314,2003.51,367939.84,146379.264,78136.896
