Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,38.75,super_resolution_bsd500-bs1,7775.557,2191.371,1962.24,303246.72,85463.488,76527.36
dla0,918000000,41.78,super_resolution_bsd500-bs1,8668.9,3080.356,1963.486,338087.104,120133.888,76575.936
