Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,31.57,yolo11n,7578.092,2301.817,1858.855,295545.6,89770.88,72495.36
gpu,918000000,32.67,yolo11n,8663.466,3328.902,1867.878,346538.624,133156.096,74715.136
