Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,36.96,super_resolution_bsd500-bs1,8544.327,2852.078,2012.405,333228.736,111231.04,78483.776
gpu,918000000,43.93,super_resolution_bsd500-bs1,10400.499,4473.909,2104.658,405619.456,174482.432,82081.664
