Throughput: 67.06
[2025-04-14 16:51:26.180] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:26.569] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:26.953] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1851.776 mW,
[2025-04-14 16:51:27.332] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:27.723] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.112] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.490] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.872] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:29.251] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:29.640] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.019] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.399] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.784] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.168] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.554] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.929] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:32.311] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:32.696] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.076] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.457] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.838] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.209] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.600] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.975] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
