Throughput: 51.39
[2025-04-14 17:17:34.934] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:35.312] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:35.685] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:36.068] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:36.447] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:17:36.828] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:37.214] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:37.591] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:17:37.970] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:38.346] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:17:38.726] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:39.105] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:39.497] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:39.873] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:17:40.251] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:40.630] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:41.012] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:41.395] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:17:41.776] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:42.158] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:42.542] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:42.927] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:43.306] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:43.683] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:44.065] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:44.450] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:44.831] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:45.212] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:45.591] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:45.975] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:46.359] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:46.741] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:17:47.124] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:47.505] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:47.891] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:48.271] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:48.651] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:49.031] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:17:49.402] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1972.544 mW,
