Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,99.26,resnet50_Opset17,7367.188,1970.48,1934.326,287320.32,76848.704,75438.72
dla0,918000000,102.10,resnet50_Opset17,8166.816,2788.734,1893.024,326672.64,111549.376,75720.96
