Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
dla0,612000000,49.96,yolov3-tiny-416-bs1,7787.963,2187.243,1966.375,303730.56,85302.464,76688.64
dla0,918000000,51.42,yolov3-tiny-416-bs1,8709.762,3100.918,1968.669,348390.464,124036.736,78746.752
