Throughput: 110.78
[2025-04-18 14:20:13.964] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:14.345] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:14.735] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:15.117] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:15.508] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:15.893] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:16.284] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:16.670] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:17.059] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:17.441] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:20:17.835] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:18.214] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:20:18.598] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:20:18.986] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:19.370] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:19.756] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:20.141] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:20.524] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:20.919] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:21.311] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:21.696] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:22.084] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:22.473] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:22.860] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:23.242] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:23.627] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:24.012] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:24.393] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:24.772] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:25.156] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:25.543] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:25.927] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:26.307] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:26.690] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:27.074] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:27.457] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:20:27.852] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:20:28.231] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 14:20:28.619] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 1814.400 mW,
