Throughput: 29.13
[2025-04-18 14:17:04.378] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:04.753] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.125] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.496] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.866] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.242] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.615] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.994] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:07.367] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:07.741] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:08.116] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:08.490] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 14:17:08.861] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:09.235] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:09.609] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:09.986] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:10.358] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:10.734] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:11.107] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 14:17:11.482] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
