Throughput: 56.74
[2025-04-18 16:26:26.450] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1811.520 mW,
[2025-04-18 16:26:26.834] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:27.220] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:27.603] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:27.982] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:28.370] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:28.758] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:29.137] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:29.529] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:29.913] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:30.298] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:30.683] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:31.068] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:31.457] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:31.848] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1771.264 mW,
[2025-04-18 16:26:32.235] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:32.624] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:33.005] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:33.395] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 16:26:33.783] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1774.080 mW,
