Throughput: 34.57
[2025-04-12 17:21:16.793] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:17.172] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:17.556] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:17.939] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:18.321] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:18.701] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:19.081] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:19.459] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:19.844] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:20.220] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:20.602] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:20.983] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:21.365] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:21.751] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.127] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.509] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.893] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:23.276] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:23.663] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:24.048] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:24.429] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:24.813] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:25.194] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:25.576] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:25.960] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:26.343] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:26.729] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:27.110] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:27.494] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:27.879] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:28.261] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:28.648] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:29.032] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:29.412] VDD_IN: 7257.600 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:29.792] VDD_IN: 7096.320 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 17:21:30.172] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 17:21:30.553] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 17:21:30.928] VDD_IN: 6814.080 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1733.760 mW,
[2025-04-12 17:21:31.300] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1733.760 mW,
