Throughput: 25.91
[2025-04-14 15:43:24.788] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:25.160] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:25.531] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:25.904] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:26.275] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:26.646] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:27.016] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:27.386] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:27.758] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:28.129] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:28.504] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:28.877] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:29.248] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:29.619] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:29.990] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:30.364] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:30.737] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:31.108] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:31.481] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:31.852] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:32.226] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:32.599] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:32.970] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:33.339] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:33.708] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:34.078] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:34.449] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:34.817] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 15:43:35.188] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 1975.680 mW,
