engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,run_gpu_freq,run_cpu0_freq,run_cpu4_freq
yolov3-tiny-416-bs1,DLA0,1984000,918000000,40.00,40.04,62.82,11569.41,4113.62,3355.41,918000000.00,1984000.00,806400.00
resnet50_Opset17,DLA0,1984000,918000000,70.00,70.02,112.95,11569.41,4113.62,3355.41,918000000.00,1984000.00,806400.00
efficientnet_b5,DLA1,1984000,918000000,50.00,48.86,48.90,11569.41,4113.62,3355.41,918000000.00,1984000.00,806400.00
