engine_name,device,cpu,gpu,target,throughput,actual_throughput,vdd_in,vdd_cpu_gpu_cv,vdd_soc,run_gpu_freq,run_cpu0_freq,run_cpu4_freq
yolov3-tiny-416-bs1,DLA0,1984000,918000000,40.00,40.05,66.78,9554.99,4205.41,1926.85,918000000.00,1984000.00,1728000.00
efficientnet_b5,GPU,1984000,918000000,50.00,50.06,75.93,9554.99,4205.41,1926.85,918000000.00,1984000.00,1728000.00
resnet50_Opset17,DLA1,1984000,918000000,70.00,70.00,115.99,9554.99,4205.41,1926.85,918000000.00,1984000.00,1728000.00
