Throughput: 42.69
[2025-04-14 16:06:53.410] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:06:53.786] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:54.167] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:54.545] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:54.924] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:55.303] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:55.684] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:56.064] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:56.446] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:56.820] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:57.205] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:57.593] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:57.973] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:58.353] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:58.733] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:59.118] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:59.500] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:06:59.879] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:00.265] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:00.647] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:01.027] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:01.404] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:01.778] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:02.154] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:02.532] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:02.908] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:03.288] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:03.674] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:04.050] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:04.435] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:04.814] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:05.194] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:05.578] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:05.963] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:06.342] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:06.722] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:07.109] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:07.487] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:07:07.862] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
