Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,83.19,resnet50_Opset17,7967.852,2340.009,2028.406,310746.24,91260.352,79107.84
gpu,918000000,105.73,resnet50_Opset17,9378.616,3548.232,2095.376,365766.016,138381.056,81719.68
