Throughput: 39.44
[2025-04-14 16:56:11.613] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:56:11.999] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:56:12.383] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:56:12.769] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:13.148] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:56:13.532] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:13.916] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:14.299] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:14.682] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.063] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.444] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.833] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:16.217] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:16.601] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2012.800 mW,
