Throughput: 93.30
[2025-04-18 14:05:05.797] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:06.183] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:06.573] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:06.952] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:07.344] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:07.730] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:08.119] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:08.504] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:08.890] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:09.278] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:09.660] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:10.048] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:10.435] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:10.823] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:11.211] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:11.598] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:11.986] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:12.376] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:12.766] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:13.147] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:13.531] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:13.916] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:14.299] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:14.689] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:15.072] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:15.459] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:15.843] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:16.228] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:16.617] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:16.996] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:17.385] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:17.771] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:18.152] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:18.544] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:18.927] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:19.307] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:19.693] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 14:05:20.074] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
