Throughput: 49.59
[2025-04-18 17:11:02.861] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:03.251] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:03.641] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:04.025] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:04.407] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:04.793] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:05.175] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 17:11:05.556] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 17:11:05.943] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:06.324] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:06.714] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:07.102] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:07.486] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:07.869] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:08.254] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:08.639] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:09.020] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:09.406] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:09.798] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 17:11:10.189] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:10.574] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:10.956] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 17:11:11.342] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1814.400 mW,
