Throughput: 64.48
[2025-06-16 23:53:37.763] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:38.109] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:38.454] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:38.801] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:39.146] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:39.493] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:39.839] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:40.184] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:40.530] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:40.884] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:41.230] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:41.579] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:41.928] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:42.271] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:42.617] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:42.966] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:43.312] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:43.658] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:44.004] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:44.350] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:44.698] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:45.040] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:45.384] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:45.730] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:46.076] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:46.422] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:46.765] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:47.113] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:47.456] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:47.801] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:48.148] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:48.493] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:48.838] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:49.184] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:49.535] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:49.881] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:50.226] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:50.569] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:50.917] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:51.263] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3611.520 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:51.608] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:51.954] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
[2025-06-16 23:53:52.299] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1932.288 mW,
