Throughput: 125.33
[2025-06-16 20:33:14.357] VDD_IN: 6612.480 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:14.709] VDD_IN: 6572.160 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:15.059] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:15.407] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:15.758] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:16.108] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:16.458] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:16.811] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:17.160] VDD_IN: 6491.520 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:17.510] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:17.859] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:18.207] VDD_IN: 6491.520 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:18.553] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:18.903] VDD_IN: 6491.520 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:33:19.254] VDD_IN: 6531.840 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1693.440 mW,
