Device,Frequency,Throughput,Model,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,612000000,55.19,yolov3-tiny-416-bs1,7896.517,2386.458,1933.292,307964.16,93071.872,75398.4
gpu,918000000,58.92,yolov3-tiny-416-bs1,9077.212,3481.246,1967.383,354011.264,135768.576,76727.936
