Throughput: 54.39
[2025-04-14 16:49:50.931] VDD_IN: 11535.104 mW, VDD_CPU_GPU_CV: 4927.872 mW, VDD_SOC: 2692.864 mW,
[2025-04-14 16:49:51.304] VDD_IN: 12017.408 mW, VDD_CPU_GPU_CV: 5008.000 mW, VDD_SOC: 2934.016 mW,
[2025-04-14 16:49:51.679] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 5088.128 mW, VDD_SOC: 3255.552 mW,
[2025-04-14 16:49:52.051] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 5128.192 mW, VDD_SOC: 3370.752 mW,
[2025-04-14 16:49:52.421] VDD_IN: 12982.016 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3451.008 mW,
[2025-04-14 16:49:52.799] VDD_IN: 12982.016 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3451.008 mW,
[2025-04-14 16:49:53.177] VDD_IN: 13102.592 mW, VDD_CPU_GPU_CV: 5248.384 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:53.551] VDD_IN: 13102.592 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:53.931] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 5088.128 mW, VDD_SOC: 3451.008 mW,
[2025-04-14 16:49:54.307] VDD_IN: 12901.632 mW, VDD_CPU_GPU_CV: 5128.192 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:54.680] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5128.192 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:55.060] VDD_IN: 12982.016 mW, VDD_CPU_GPU_CV: 5128.192 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:55.432] VDD_IN: 12901.632 mW, VDD_CPU_GPU_CV: 5048.064 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:55.811] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 5008.000 mW, VDD_SOC: 3451.008 mW,
[2025-04-14 16:49:56.184] VDD_IN: 12861.440 mW, VDD_CPU_GPU_CV: 5048.064 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:56.563] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:56.938] VDD_IN: 13022.208 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:57.321] VDD_IN: 12941.824 mW, VDD_CPU_GPU_CV: 5088.128 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:57.697] VDD_IN: 12901.632 mW, VDD_CPU_GPU_CV: 5048.064 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:49:58.071] VDD_IN: 13102.592 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:49:58.448] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:49:58.825] VDD_IN: 13263.360 mW, VDD_CPU_GPU_CV: 5248.384 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:49:59.206] VDD_IN: 13303.552 mW, VDD_CPU_GPU_CV: 5248.384 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:49:59.582] VDD_IN: 13263.360 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:49:59.962] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:50:00.335] VDD_IN: 12941.824 mW, VDD_CPU_GPU_CV: 5088.128 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:00.704] VDD_IN: 13102.592 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:50:01.076] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:50:01.449] VDD_IN: 12982.016 mW, VDD_CPU_GPU_CV: 5128.192 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:01.823] VDD_IN: 12861.440 mW, VDD_CPU_GPU_CV: 5048.064 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:02.198] VDD_IN: 12821.248 mW, VDD_CPU_GPU_CV: 5048.064 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:02.576] VDD_IN: 13062.400 mW, VDD_CPU_GPU_CV: 5208.320 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:02.948] VDD_IN: 13102.592 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:03.325] VDD_IN: 13182.976 mW, VDD_CPU_GPU_CV: 5248.384 mW, VDD_SOC: 3531.264 mW,
[2025-04-14 16:50:03.700] VDD_IN: 12901.632 mW, VDD_CPU_GPU_CV: 5088.128 mW, VDD_SOC: 3451.008 mW,
[2025-04-14 16:50:04.075] VDD_IN: 13022.208 mW, VDD_CPU_GPU_CV: 5168.256 mW, VDD_SOC: 3491.136 mW,
[2025-04-14 16:50:04.450] VDD_IN: 12740.864 mW, VDD_CPU_GPU_CV: 4887.808 mW, VDD_SOC: 3416.320 mW,
[2025-04-14 16:50:04.820] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 3175.168 mW,
[2025-04-14 16:50:05.197] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2455.616 mW,
[2025-04-14 16:50:05.571] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2133.568 mW,
