Throughput: 58.92
[2025-04-14 16:21:17.092] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:17.478] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:21:17.858] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:18.241] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:18.623] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:19.008] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:19.390] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:19.774] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:20.159] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:21:20.545] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:20.923] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:21.301] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:21.679] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:22.060] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:22.447] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:22.832] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:23.210] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:23.596] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:23.977] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:24.355] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:24.738] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:25.121] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:25.504] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:25.886] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:26.267] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:26.648] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:27.032] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:27.422] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:27.805] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:28.189] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:28.569] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:28.951] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:29.327] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:29.712] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:30.089] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:30.469] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:30.849] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:21:31.233] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:21:31.617] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1892.032 mW,
