Throughput: 26.19
[2025-06-16 22:40:43.340] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:43.694] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:44.047] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:44.402] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:44.752] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:45.105] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:45.460] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:45.808] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:46.158] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:46.507] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:46.858] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:47.211] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:47.563] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:47.918] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1247.936 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:48.269] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:48.620] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:48.973] VDD_IN: 6854.400 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
[2025-06-16 22:40:49.329] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1288.192 mW, VDD_SOC: 1975.680 mW,
